Navn,Lengdegrad,Breddegrad
Flå skole,9.46253,60.43042
Tislegård ungdomsskole,9.65659,59.65915
Hvittingfoss barne- og ungdomsskole,10.00927,59.48909
Efteløt skole,9.81151,59.54997
Wennersborg skole,9.63991,59.65342
Skrim ungdomsskole,9.64902,59.62713
Vestsiden ungdomsskole,9.64152,59.66874
Jondalen skole,9.52022,59.70461
Kongsgårdmoen skole,9.64519,59.62726
Tyristrand skole,10.10196,60.0857
Veien skole,10.23242,60.17562
Sokna skole,9.93157,60.24258
Nes skole,9.98682,60.56573
Ullerål skole,10.26701,60.18133
Røyse skole,10.2194,60.09101
Hallingby skole,10.17889,60.26882
Vik skole,10.28114,60.07883
Børresen ungdomsskole,10.19029,59.74922
Brandengen skole,10.22328,59.72907
Danvik skole,10.19327,59.73502
Konnerud skole,10.13391,59.72185
Åskollen skole,10.2603,59.71283
Vestbygda skole,10.16558,59.69593
Rødskog skole,10.15947,59.74527
Skoger skole,10.25135,59.68509
Øren skole,10.17046,59.75219
Åssiden skole,10.14479,59.75149
Bragernes skole,10.22544,59.74881
Midsund skule,6.66982,62.68155
Eresfjord barne- og ungdomsskule,8.11492,62.66142
Eidsvåg barne- og ungdomsskole,8.07463,62.77818
Tomrefjord skule,6.92935,62.60212
Tresfjord oppvekstsenter skule,7.12664,62.52133
Helland barneskule,7.0911,62.61655
Haramsøy barne- og ungdomsskule,6.26092,62.64386
Søvik barneskule,6.28541,62.54663
Brattvåg barneskule,6.44113,62.60073
Vigra skule,6.11674,62.57277
Godøy skule,6.02219,62.47215
Giske skule,6.05117,62.50407
Valderøy barneskule,6.12857,62.50554
Rødberg skole,8.94328,60.2692
Uvdal skole,8.74465,60.27058
Vevelstad sentralskole,12.44085,65.70131
Surnadal barne- og ungdomsskule,8.71662,62.98133
Bøfjorden og Bæverfjord oppvekstsenter avd Bæverfjord skule,8.59908,63.02578
Mo oppvekstsenter avd skule,8.96186,62.99879
Todalen og Stangvik oppvekstsenter,8.59745,62.90195
Aure barne- og ungdomsskole,8.53331,63.26817
Tredal skole,8.53306,62.66633
Sande skole,8.58957,62.67013
Løykja skole,8.69647,62.65264
Ålvundfjord skule,8.51862,62.8409
